,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdh_s1,macdh_trend_abv_up,macdh_trend_abv_dn,macdh_trend_blw_up,macdh_trend_blw_dn,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,Sell_count_compare
1025,2022-08-18 17:32:00,13487.75,13487.75,13487.75,13487.75,4.080972730893336,-0.8273049242604831,4.908277655153819,63.075336854320255,0,0,13485.525,13484.7125,13470.92,4.114654913686536,4.749553106860363,n,n,n,n,-0.9837541992655412,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1026,2022-08-18 17:33:00,13489.25,13489.25,13489.25,13489.25,4.114654913686536,-0.6348981931738269,4.749553106860363,65.00090284157432,0,0,13485.625,13485.3625,13471.75,3.994438334235383,4.598530152335367,n,n,n,n,-0.8273049242604831,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1027,2022-08-18 17:34:00,13488.0,13488.0,13488.0,13488.0,3.994438334235383,-0.6040918180999837,4.598530152335367,62.09486676868154,0,0,13485.925,13486.0375,13472.555,3.6951867311418027,4.417861468096654,n,n,n,n,-0.6348981931738269,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1028,2022-08-18 17:35:00,13486.0,13486.0,13486.0,13486.0,3.6951867311418027,-0.7226747369548514,4.417861468096654,57.653544468701824,0,0,13486.075,13486.3,13473.325,3.797537335771267,4.293796641631577,n,n,n,n,-0.6040918180999837,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1029,2022-08-18 17:36:00,13490.75,13490.75,13490.75,13490.75,3.797537335771267,-0.49625930586030975,4.293796641631577,64.20231573015818,0,0,13486.825,13486.425,13474.125,3.9541078968268266,4.225858892670627,n,n,n,n,-0.7226747369548514,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1030,2022-08-18 17:37:00,13492.25,13492.25,13492.25,13492.25,3.9541078968268266,-0.27175099584380025,4.225858892670627,65.99094234045597,0,0,13487.55,13486.5,13474.99,3.9918300412773533,4.179053122391972,n,n,n,n,-0.49625930586030975,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1031,2022-08-18 17:38:00,13491.75,13491.75,13491.75,13491.75,3.9918300412773533,-0.1872230811146185,4.179053122391972,64.82817722534885,0,0,13488.275,13486.675,13475.855,3.676748188168858,4.078592135547349,n,n,n,n,-0.27175099584380025,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1032,2022-08-18 17:39:00,13488.0,13488.0,13488.0,13488.0,3.676748188168858,-0.4018439473784907,4.078592135547349,56.75152884661907,0,0,13488.375,13486.6875,13476.605,3.746963281168064,4.012266364671492,n,n,n,n,-0.1872230811146185,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1033,2022-08-18 17:40:00,13492.5,13492.5,13492.5,13492.5,3.746963281168064,-0.2653030835034276,4.012266364671492,62.749036431189545,0,0,13489.125,13487.075,13477.475,3.500015410654669,3.909816173868127,n,n,n,n,-0.4018439473784907,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1034,2022-08-18 17:41:00,13489.25,13489.25,13489.25,13489.25,3.500015410654669,-0.4098007632134584,3.909816173868127,56.63992246556106,0,0,13489.55,13487.325,13478.3,3.226765478935704,3.7732060348816425,n,n,n,n,-0.2653030835034276,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1035,2022-08-18 17:42:00,13488.75,13488.75,13488.75,13488.75,3.226765478935704,-0.5464405559459387,3.7732060348816425,55.74080643656798,0,0,13489.65,13487.5875,13479.05,3.0157945583141554,3.621723739568145,n,n,n,n,-0.4098007632134584,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1036,2022-08-18 17:43:00,13489.25,13489.25,13489.25,13489.25,3.0157945583141554,-0.6059291812539898,3.621723739568145,56.48471507997057,0,0,13489.65,13487.6375,13479.78,2.935794041492045,3.4845377999529252,n,n,n,n,-0.5464405559459387,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1037,2022-08-18 17:44:00,13490.75,13490.75,13490.75,13490.75,2.935794041492045,-0.5487437584608803,3.4845377999529252,58.72600752410424,0,0,13489.925,13487.925,13480.415,2.859602251486649,3.35955069025967,n,n,n,n,-0.6059291812539898,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
